"buildingKey","floorKey","roomKey","buildingId"
"1162","2","221^1","VUh1aHwxMTYy"
"1167","2","222^1","VUh1aHwxMTY3"
"1165","2","223^1","VUh1aHwxMTY1"
"1167","2","225^1","VUh1aHwxMTY3"
"1165","2","236^1","VUh1aHwxMTY1"
"1165","2","252DD^1","VUh1aHwxMTY1"
"1165","2","252^1","VUh1aHwxMTY1"
"1165","2","257^1","VUh1aHwxMTY1"
"1165","2","261B^2","VUh1aHwxMTY1"
"1165","2","261^1","VUh1aHwxMTY1"
"1165","2","252E^1","VUh1aHwxMTY1"
"1165","2","254^1","VUh1aHwxMTY1"
"1165","2","260^1","VUh1aHwxMTY1"
"1162","3","300E3^1","VUh1aHwxMTYy"
"1162","3","300PC2^1","VUh1aHwxMTYy"
"1162","3","300PC4^1","VUh1aHwxMTYy"
"1162","3","303AA^1","VUh1aHwxMTYy"
"1162","3","303E^1","VUh1aHwxMTYy"
"1162","3","303F^1","VUh1aHwxMTYy"
"1162","3","305D^1","VUh1aHwxMTYy"
"1162","3","306B^1","VUh1aHwxMTYy"
"1162","3","306C^1","VUh1aHwxMTYy"
"1164","3","306^56","VUh1aHwxMTY0"
"1162","3","308^1","VUh1aHwxMTYy"
"1162","3","309B^1","VUh1aHwxMTYy"
"1162","3","309^1","VUh1aHwxMTYy"
"1164","3","309^56","VUh1aHwxMTY0"
"1162","3","310A^1","VUh1aHwxMTYy"
"1164","3","310^53","VUh1aHwxMTY0"
"1162","3","311B^1","VUh1aHwxMTYy"
"1162","3","311^1","VUh1aHwxMTYy"
"1164","3","311^53","VUh1aHwxMTY0"
"1162","3","314-1^2","VUh1aHwxMTYy"
"1162","3","314-3^1","VUh1aHwxMTYy"
"1162","3","314-5^1","VUh1aHwxMTYy"
"1162","3","314B^1","VUh1aHwxMTYy"
"1162","3","317B^1","VUh1aHwxMTYy"
"1164","3","318A^5","VUh1aHwxMTY0"
"1162","3","318B^1","VUh1aHwxMTYy"
"1162","3","318D^1","VUh1aHwxMTYy"
"1162","3","325^1","VUh1aHwxMTYy"
"1162","3","329^1","VUh1aHwxMTYy"
"1168","3","353A^1","VUh1aHwxMTY4"
"1168","3","354^1","VUh1aHwxMTY4"
"1168","3","361B^1","VUh1aHwxMTY4"
"1168","3","361^1","VUh1aHwxMTY4"
"1165","2","258^1","VUh1aHwxMTY1"
"1165","2","259^1","VUh1aHwxMTY1"
"1162","3","300PC1^1","VUh1aHwxMTYy"
"1162","3","300PC3^1","VUh1aHwxMTYy"
"1162","3","300PC5^1","VUh1aHwxMTYy"
"1162","3","300S1^1","VUh1aHwxMTYy"
"1164","3","301C^15","VUh1aHwxMTY0"
"1164","3","301^74","VUh1aHwxMTY0"
"1164","3","302^69","VUh1aHwxMTY0"
"1162","3","303C^1","VUh1aHwxMTYy"
"1162","3","303D^1","VUh1aHwxMTYy"
"1162","3","303G^1","VUh1aHwxMTYy"
"1162","3","303L^1","VUh1aHwxMTYy"
"1164","3","303^69","VUh1aHwxMTY0"
"1164","3","304^62","VUh1aHwxMTY0"
"1162","3","305A^1","VUh1aHwxMTYy"
"1162","3","305G^1","VUh1aHwxMTYy"
"1162","3","305^1","VUh1aHwxMTYy"
"1164","3","305^61","VUh1aHwxMTY0"
"1162","3","307^1","VUh1aHwxMTYy"
"1162","3","311A^1","VUh1aHwxMTYy"
