"buildingKey","floorKey","roomKey","buildingId"
"1161","7","714^1","VUh1aHwxMTYx"
"1122A","7","715^1","VUh1aHwxMTIyQQ"
"1122B","7","715^1","VUh1aHwxMTIyQg"
"1122B","7","716^1","VUh1aHwxMTIyQg"
"1122A","7","718^1","VUh1aHwxMTIyQQ"
"1161","7","718^1","VUh1aHwxMTYx"
"1152","1","7^104","VUh1aHwxMTUy"
"1122C","8","802^1","VUh1aHwxMTIyQw"
"1122C","8","803^1","VUh1aHwxMTIyQw"
"1122C","8","804^1","VUh1aHwxMTIyQw"
"1122C","8","805^1","VUh1aHwxMTIyQw"
"1122C","8","810^1","VUh1aHwxMTIyQw"
"1122C","8","811^1","VUh1aHwxMTIyQw"
"1122C","8","813^1","VUh1aHwxMTIyQw"
"1122C","8","816^1","VUh1aHwxMTIyQw"
"1122C","8","819^1","VUh1aHwxMTIyQw"
"1122C","8","821^1","VUh1aHwxMTIyQw"
"1120D","9","900E^1","VUh1aHwxMTIwRA"
"1120D","9","901A^1","VUh1aHwxMTIwRA"
"1120D","9","901E^1","VUh1aHwxMTIwRA"
"1120D","9","902A^1","VUh1aHwxMTIwRA"
"1120D","9","902C^1","VUh1aHwxMTIwRA"
"1120D","9","902E^1","VUh1aHwxMTIwRA"
"1120D","9","902F^1","VUh1aHwxMTIwRA"
"1120D","9","903B^1","VUh1aHwxMTIwRA"
"1120D","9","903E^1","VUh1aHwxMTIwRA"
"1120D","9","903^1","VUh1aHwxMTIwRA"
"1120D","9","905B^1","VUh1aHwxMTIwRA"
"1120D","9","905E^1","VUh1aHwxMTIwRA"
"1120D","9","905F^1","VUh1aHwxMTIwRA"
"1149A","1","A001^1","VUh1aHwxMTQ5QQ"
"1149A","1","A003^1","VUh1aHwxMTQ5QQ"
"1149A","1","A004^1","VUh1aHwxMTQ5QQ"
"1149A","1","A005^1","VUh1aHwxMTQ5QQ"
"1133","0","B00E1^1","VUh1aHwxMTMz"
"1133","0","B00PC1^1","VUh1aHwxMTMz"
"1133","0","B00PC4^1","VUh1aHwxMTMz"
"1133","0","B00S3^1","VUh1aHwxMTMz"
"1133","0","B01AD^1","VUh1aHwxMTMz"
"1133","0","B01AG^1","VUh1aHwxMTMz"
"1133","0","B01A^1","VUh1aHwxMTMz"
"1133","0","B01D^1","VUh1aHwxMTMz"
"1133","0","B01E^1","VUh1aHwxMTMz"
"1133","0","B01F^1","VUh1aHwxMTMz"
"1133","0","B01M^1","VUh1aHwxMTMz"
"1133","0","B01O^1","VUh1aHwxMTMz"
"1133","0","B01P^1","VUh1aHwxMTMz"
"1133","0","B01U^1","VUh1aHwxMTMz"
"1133","0","B01Y^1","VUh1aHwxMTMz"
"1133","0","B04B^1","VUh1aHwxMTMz"
"1133","0","B07C^1","VUh1aHwxMTMz"
"1133","0","B07^1","VUh1aHwxMTMz"
"1133","0","B08^1","VUh1aHwxMTMz"
"1133","0","B10A^1","VUh1aHwxMTMz"
"1133","0","B10D^1","VUh1aHwxMTMz"
"1133","0","B10F^1","VUh1aHwxMTMz"
"1133","0","B10Q^1","VUh1aHwxMTMz"
"1133","0","B10S^1","VUh1aHwxMTMz"
"1133","0","B10T^1","VUh1aHwxMTMz"
"1133","0","B10X^1","VUh1aHwxMTMz"
"1133","0","B11C^1","VUh1aHwxMTMz"
"1133A","1","7^1","VUh1aHwxMTMzQQ"
"1122C","8","806^1","VUh1aHwxMTIyQw"
"1122C","8","807^1","VUh1aHwxMTIyQw"
"1122C","8","808^1","VUh1aHwxMTIyQw"
"1122C","8","809^1","VUh1aHwxMTIyQw"
"1122C","8","817^1","VUh1aHwxMTIyQw"
"1122C","8","824^1","VUh1aHwxMTIyQw"
"1120D","9","900CA^1","VUh1aHwxMTIwRA"
"1120D","9","900C^1","VUh1aHwxMTIwRA"
"1120D","9","901B^1","VUh1aHwxMTIwRA"
"1120D","9","902^1","VUh1aHwxMTIwRA"
"1120D","9","903A^1","VUh1aHwxMTIwRA"
"1120D","9","903C^1","VUh1aHwxMTIwRA"
"1120D","9","903D^1","VUh1aHwxMTIwRA"
"1120D","9","904C^1","VUh1aHwxMTIwRA"
"1120D","9","905D^1","VUh1aHwxMTIwRA"
"1120D","9","905G^1","VUh1aHwxMTIwRA"
"1120D","9","905^1","VUh1aHwxMTIwRA"
"1149A","1","A002^1","VUh1aHwxMTQ5QQ"
"1133","0","B00E2^1","VUh1aHwxMTMz"
"1133","0","B00E3^1","VUh1aHwxMTMz"
"1133","0","B00PC5^1","VUh1aHwxMTMz"
"1133","0","B00S1^1","VUh1aHwxMTMz"
"1133","0","B00S4^1","VUh1aHwxMTMz"
"1133","0","B01AE^1","VUh1aHwxMTMz"
"1133","0","B01C^1","VUh1aHwxMTMz"
"1133","0","B01G^1","VUh1aHwxMTMz"
"1133","0","B01N^1","VUh1aHwxMTMz"
"1133","0","B01V^1","VUh1aHwxMTMz"
"1133","0","B01X^1","VUh1aHwxMTMz"
"1133","0","B02^1","VUh1aHwxMTMz"
"1133","0","B04A^1","VUh1aHwxMTMz"
"1133","0","B04^1","VUh1aHwxMTMz"
"1133","0","B05^1","VUh1aHwxMTMz"
"1133","0","B06A^1","VUh1aHwxMTMz"
"1133","0","B07D^1","VUh1aHwxMTMz"
"1133","0","B10B^1","VUh1aHwxMTMz"
"1133","0","B10C^1","VUh1aHwxMTMz"
"1133","0","B10M^1","VUh1aHwxMTMz"
"1133","0","B10V^1","VUh1aHwxMTMz"
"1133","0","B11A^1","VUh1aHwxMTMz"
"1133","0","B11^2","VUh1aHwxMTMz"
"1133","4","LOWER ROOF^2","VUh1aHwxMTMz"
"1126A","6","ROOF^76","VUh1aHwxMTI2QQ"
"1169","1","100PC1^53","VUh1aHwxMTY5"
"1171F","1","100PC2^36","VUh1aHwxMTcxRg"
"1168","1","100PC2^55","VUh1aHwxMTY4"
"1171F","1","100PC3^34","VUh1aHwxMTcxRg"
"1169","1","101^1","VUh1aHwxMTY5"
"1169","1","106^1","VUh1aHwxMTY5"
"1171F","1","113^1","VUh1aHwxMTcxRg"
"1171F","1","114^1","VUh1aHwxMTcxRg"
"1171F","1","115^1","VUh1aHwxMTcxRg"
"1169","1","116A^1","VUh1aHwxMTY5"
"1169","1","116B^1","VUh1aHwxMTY5"
"1169","1","116D^1","VUh1aHwxMTY5"
"1171F","1","116^1","VUh1aHwxMTcxRg"
"1169","1","124^1","VUh1aHwxMTY5"
"1163","1M","140C^1","VUh1aHwxMTYz"
"1168","1","153A^1","VUh1aHwxMTY4"
"1171F","1","100PC1^43","VUh1aHwxMTcxRg"
