Action,id,label,from_label,from_id,to_label,to_id
Remove,3ac0025a-5cb1-99bc-269d-a3e8e260028b,AX_APP_INSPECT_ADMIN,USER,cb3486357f125b3f2413b6816d0154bc,CAMPUS,YOLO
Remove,06c0025a-5cb4-cae4-c937-48c0020ff927,AX_APP_INSPECT_ADMIN,USER,cfa7f4c5c26a2df605d8e9c8059bee7c,CAMPUS,YOLO
Remove,7ac0025a-5cb3-b375-a0e6-545bfb5adce6,AX_APP_INSPECT_ADMIN,USER,d3f45473051229d0b6b7ee5c283df7fc,CAMPUS,YOLO
Remove,94bf6175-24d3-143b-bc4e-0694d8883e94,AX_APP_INSPECT_ADMIN,USER,eedcc0e463f407cea3ecdc6c79a45eed,CAMPUS,YOLO
Remove,64c0025a-5cba-6cfa-cf48-2d22a664d6a8,AX_APP_INSPECT_ADMIN,USER,f27734d18560f7fadd4fe119d863d6e7,CAMPUS,YOLO
Remove,1cbf6175-349c-3757-dfce-720737ce9936,AX_APP_INSPECT_ADMIN,USER,f2e4895e3182e8c88da70dc7fd1d76cc,CAMPUS,YOLO
Remove,e8bfcf0f-c4b2-e171-4e53-4e55069bb9a5,AX_APP_INSPECT,USER,0072d3d03545aa8c6d1011eef2c23906,CAMPUS,CDPH
Remove,2cbfcf0f-c4b3-6503-89cb-7dac4d3834fa,AX_APP_INSPECT,USER,00a1fe7239bdece12a762e5bcb0a6307,CAMPUS,CDPH
Remove,fabfcf0f-c4b2-9880-d988-6c72f73f56b0,AX_APP_INSPECT,USER,00e0da1e2cc044bb3787a3a168d7d49f,CAMPUS,CDPH
Remove,66bfcf0f-c4bb-72d9-4bcf-d69d023895d7,AX_APP_INSPECT,USER,01ace09adfc6e56e13fbc60b53db77a4,CAMPUS,CDPH
Remove,56bfcf0f-c4be-2cd0-df2e-a82d822684c0,AX_APP_INSPECT,USER,02625f795e19a89007d6b0709976cec1,CAMPUS,CDPH
Remove,64bfcf0f-c4c3-273b-cb1f-2f1a59035425,AX_APP_INSPECT,USER,02ab8f2e88fde9f635c02fd23af9f584,CAMPUS,CDPH
Remove,f2bfcf0f-c4c8-77eb-7031-7c550466e67b,AX_APP_INSPECT,USER,0314af89b9600bad832e63df21efb67c,CAMPUS,CDPH
Remove,5ebfcf0f-c4c4-7f5b-ba56-dd22a85c5ba0,AX_APP_INSPECT,USER,033819d234c5cdb7cf9f8c93083e98cd,CAMPUS,CDPH
Remove,6cba8f13-41a6-d7f1-f960-317d27a186e1,AX_APP_INSPECT,USER,0357bdc0c68553b66a5475bd95fc54c2,CAMPUS,CDPH
Remove,12bfcf0f-c4cc-83a7-637c-c6aaeae02d8c,AX_APP_INSPECT,USER,0359fe0c74c43ddd8e02c3ca7f190bf8,CAMPUS,CDPH
Remove,5abfd952-784e-3fe2-3f3b-7ec2f2128df7,AX_APP_INSPECT,USER,0379c2403c83696ff27b48145fdd160f,CAMPUS,CDPH
